,BVP,timestamp
45438,32.3,1637350060.953125
45439,27.48,1637350060.96875
45440,23.87,1637350060.984375
45441,21.51,1637350061.0
45442,20.1,1637350061.015625
45443,19.08,1637350061.03125
45444,17.76,1637350061.046875
45445,15.74,1637350061.0625
45446,13.02,1637350061.078125
45447,10.0,1637350061.09375
45448,7.35,1637350061.109375
45449,5.59,1637350061.125
45450,4.86,1637350061.140625
45451,4.87,1637350061.15625
45452,4.98,1637350061.171875
45453,4.57,1637350061.1875
45454,3.3,1637350061.203125
45455,1.26,1637350061.21875
45456,-1.11,1637350061.234375
45457,-3.37,1637350061.25
45458,-5.33,1637350061.265625
45459,-7.23,1637350061.28125
45460,-9.55,1637350061.296875
45461,-12.76,1637350061.3125
45462,-16.93,1637350061.328125
45463,-21.69,1637350061.34375
45464,-26.34,1637350061.359375
45465,-30.26,1637350061.375
45466,-33.1,1637350061.390625
45467,-34.97,1637350061.40625
45468,-36.34,1637350061.421875
45469,-37.88,1637350061.4375
45470,-40.32,1637350061.453125
45471,-44.21,1637350061.46875
45472,-49.8,1637350061.484375
45473,-56.63,1637350061.5
45474,-63.38,1637350061.515625
45475,-67.84,1637350061.53125
45476,-67.48,1637350061.546875
45477,-60.29,1637350061.5625
45478,-45.84,1637350061.578125
45479,-25.72,1637350061.59375
45480,-3.22,1637350061.609375
45481,17.74,1637350061.625
45482,33.91,1637350061.640625
45483,43.69,1637350061.65625
45484,47.4,1637350061.671875
45485,46.62,1637350061.6875
45486,43.34,1637350061.703125
45487,39.11,1637350061.71875
45488,34.73,1637350061.734375
45489,30.44,1637350061.75
45490,26.28,1637350061.765625
45491,22.38,1637350061.78125
45492,19.03,1637350061.796875
45493,16.47,1637350061.8125
45494,14.74,1637350061.828125
45495,13.59,1637350061.84375
45496,12.67,1637350061.859375
45497,11.66,1637350061.875
45498,10.52,1637350061.890625
45499,9.39,1637350061.90625
45500,8.54,1637350061.921875
45501,8.12,1637350061.9375
45502,8.04,1637350061.953125
45503,7.98,1637350061.96875
45504,7.6,1637350061.984375
45505,6.66,1637350062.0
45506,5.19,1637350062.015625
45507,3.4,1637350062.03125
45508,1.53,1637350062.046875
45509,-0.33,1637350062.0625
45510,-2.32,1637350062.078125
45511,-4.65,1637350062.09375
45512,-7.55,1637350062.109375
45513,-11.0,1637350062.125
45514,-14.75,1637350062.140625
45515,-18.44,1637350062.15625
45516,-21.7,1637350062.171875
45517,-24.33,1637350062.1875
45518,-26.34,1637350062.203125
45519,-27.95,1637350062.21875
45520,-29.61,1637350062.234375
45521,-31.93,1637350062.25
45522,-35.47,1637350062.265625
45523,-40.48,1637350062.28125
45524,-46.34,1637350062.296875
45525,-51.42,1637350062.3125
45526,-53.33,1637350062.328125
45527,-49.65,1637350062.34375
45528,-39.04,1637350062.359375
45529,-22.05,1637350062.375
45530,-1.17,1637350062.390625
45531,19.95,1637350062.40625
45532,37.78,1637350062.421875
45533,50.03,1637350062.4375
45534,56.17,1637350062.453125
45535,57.17,1637350062.46875
45536,54.64,1637350062.484375
45537,50.16,1637350062.5
45538,44.81,1637350062.515625
45539,39.18,1637350062.53125
45540,33.61,1637350062.546875
45541,28.42,1637350062.5625
45542,23.89,1637350062.578125
45543,20.23,1637350062.59375
45544,17.46,1637350062.609375
45545,15.41,1637350062.625
45546,13.81,1637350062.640625
45547,12.39,1637350062.65625
45548,10.99,1637350062.671875
45549,9.57,1637350062.6875
45550,8.19,1637350062.703125
45551,6.96,1637350062.71875
45552,5.98,1637350062.734375
45553,5.29,1637350062.75
45554,4.89,1637350062.765625
45555,4.65,1637350062.78125
45556,4.41,1637350062.796875
45557,3.93,1637350062.8125
45558,2.93,1637350062.828125
45559,1.16,1637350062.84375
45560,-1.53,1637350062.859375
45561,-5.06,1637350062.875
45562,-9.13,1637350062.890625
45563,-13.31,1637350062.90625
45564,-17.13,1637350062.921875
45565,-20.29,1637350062.9375
45566,-22.78,1637350062.953125
45567,-24.86,1637350062.96875
45568,-27.06,1637350062.984375
45569,-30.02,1637350063.0
45570,-34.33,1637350063.015625
45571,-40.33,1637350063.03125
45572,-47.8,1637350063.046875
45573,-55.71,1637350063.0625
45574,-62.13,1637350063.078125
45575,-64.6,1637350063.09375
45576,-60.83,1637350063.109375
45577,-49.62,1637350063.125
45578,-31.63,1637350063.140625
45579,-9.41,1637350063.15625
45580,13.28,1637350063.171875
45581,32.68,1637350063.1875
45582,46.22,1637350063.203125
45583,53.18,1637350063.21875
45584,54.54,1637350063.234375
45585,52.16,1637350063.25
45586,47.91,1637350063.265625
45587,43.05,1637350063.28125
45588,38.16,1637350063.296875
45589,33.34,1637350063.3125
45590,28.71,1637350063.328125
45591,24.5,1637350063.34375
45592,21.03,1637350063.359375
45593,18.48,1637350063.375
45594,16.78,1637350063.390625
45595,15.62,1637350063.40625
45596,14.63,1637350063.421875
45597,13.5,1637350063.4375
45598,12.17,1637350063.453125
45599,10.75,1637350063.46875
45600,9.42,1637350063.484375
45601,8.34,1637350063.5
45602,7.58,1637350063.515625
45603,7.01,1637350063.53125
45604,6.44,1637350063.546875
45605,5.58,1637350063.5625
45606,4.14,1637350063.578125
45607,1.87,1637350063.59375
45608,-1.35,1637350063.609375
45609,-5.48,1637350063.625
45610,-10.34,1637350063.640625
45611,-15.51,1637350063.65625
45612,-20.52,1637350063.671875
45613,-24.9,1637350063.6875
45614,-28.35,1637350063.703125
45615,-30.87,1637350063.71875
45616,-32.77,1637350063.734375
45617,-34.6,1637350063.75
45618,-36.99,1637350063.765625
45619,-40.56,1637350063.78125
45620,-45.62,1637350063.796875
45621,-52.05,1637350063.8125
45622,-59.02,1637350063.828125
45623,-64.89,1637350063.84375
45624,-67.38,1637350063.859375
45625,-64.18,1637350063.875
45626,-53.79,1637350063.890625
45627,-36.34,1637350063.90625
45628,-13.86,1637350063.921875
45629,10.13,1637350063.9375
45630,31.68,1637350063.953125
45631,47.77,1637350063.96875
45632,57.05,1637350063.984375
45633,60.02,1637350064.0
45634,58.37,1637350064.015625
45635,54.09,1637350064.03125
45636,48.7,1637350064.046875
45637,43.04,1637350064.0625
45638,37.41,1637350064.078125
45639,32.03,1637350064.09375
45640,27.15,1637350064.109375
45641,23.1,1637350064.125
45642,20.07,1637350064.140625
45643,17.94,1637350064.15625
45644,16.34,1637350064.171875
45645,14.85,1637350064.1875
45646,13.17,1637350064.203125
45647,11.26,1637350064.21875
45648,9.3,1637350064.234375
45649,7.52,1637350064.25
45650,6.11,1637350064.265625
45651,5.07,1637350064.28125
45652,4.25,1637350064.296875
45653,3.45,1637350064.3125
45654,2.41,1637350064.328125
45655,0.91,1637350064.34375
45656,-1.21,1637350064.359375
45657,-4.08,1637350064.375
45658,-7.7,1637350064.390625
45659,-11.98,1637350064.40625
45660,-16.71,1637350064.421875
45661,-21.6,1637350064.4375
45662,-26.3,1637350064.453125
45663,-30.49,1637350064.46875
45664,-34.02,1637350064.484375
45665,-36.89,1637350064.5
45666,-39.41,1637350064.515625
45667,-42.09,1637350064.53125
45668,-45.62,1637350064.546875
45669,-50.7,1637350064.5625
45670,-57.71,1637350064.578125
45671,-66.33,1637350064.59375
45672,-75.16,1637350064.609375
45673,-81.71,1637350064.625
45674,-82.85,1637350064.640625
45675,-75.92,1637350064.65625
45676,-59.87,1637350064.671875
45677,-36.05,1637350064.6875
45678,-8.04,1637350064.703125
45679,19.38,1637350064.71875
45680,41.91,1637350064.734375
45681,56.96,1637350064.75
45682,64.24,1637350064.765625
45683,65.25,1637350064.78125
45684,62.26,1637350064.796875
45685,57.24,1637350064.8125
45686,51.43,1637350064.828125
45687,45.37,1637350064.84375
45688,39.34,1637350064.859375
45689,33.69,1637350064.875
45690,28.93,1637350064.890625
45691,25.48,1637350064.90625
45692,23.46,1637350064.921875
45693,22.57,1637350064.9375
45694,22.21,1637350064.953125
45695,21.79,1637350064.96875
45696,20.95,1637350064.984375
45697,19.64,1637350065.0
45698,18.09,1637350065.015625
45699,16.58,1637350065.03125
45700,15.33,1637350065.046875
45701,14.38,1637350065.0625
45702,13.6,1637350065.078125
45703,12.79,1637350065.09375
45704,11.67,1637350065.109375
45705,10.0,1637350065.125
45706,7.51,1637350065.140625
45707,4.02,1637350065.15625
45708,-0.54,1637350065.171875
45709,-5.98,1637350065.1875
45710,-11.89,1637350065.203125
45711,-17.67,1637350065.21875
45712,-22.8,1637350065.234375
45713,-26.94,1637350065.25
45714,-30.15,1637350065.265625
45715,-32.83,1637350065.28125
45716,-35.61,1637350065.296875
45717,-39.2,1637350065.3125
45718,-44.22,1637350065.328125
45719,-50.96,1637350065.34375
45720,-59.08,1637350065.359375
45721,-67.42,1637350065.375
45722,-73.83,1637350065.390625
45723,-75.6,1637350065.40625
45724,-70.26,1637350065.421875
45725,-56.6,1637350065.4375
45726,-35.5,1637350065.453125
45727,-9.94,1637350065.46875
45728,15.83,1637350065.484375
45729,37.65,1637350065.5
45730,52.82,1637350065.515625
45731,60.68,1637350065.53125
45732,62.37,1637350065.546875
45733,59.94,1637350065.5625
45734,55.36,1637350065.578125
45735,49.91,1637350065.59375
45736,44.21,1637350065.609375
45737,38.53,1637350065.625
45738,33.11,1637350065.640625
45739,28.29,1637350065.65625
45740,24.45,1637350065.671875
45741,21.74,1637350065.6875
45742,20.04,1637350065.703125
45743,19.05,1637350065.71875
45744,18.41,1637350065.734375
45745,17.82,1637350065.75
45746,17.17,1637350065.765625
45747,16.45,1637350065.78125
45748,15.78,1637350065.796875
45749,15.28,1637350065.8125
45750,15.13,1637350065.828125
45751,15.34,1637350065.84375
45752,15.71,1637350065.859375
45753,15.83,1637350065.875
45754,15.07,1637350065.890625
45755,12.91,1637350065.90625
45756,9.11,1637350065.921875
45757,3.9,1637350065.9375
45758,-2.07,1637350065.953125
45759,-7.96,1637350065.96875
45760,-12.99,1637350065.984375
45761,-16.74,1637350066.0
45762,-19.22,1637350066.015625
45763,-20.81,1637350066.03125
45764,-22.12,1637350066.046875
45765,-23.88,1637350066.0625
45766,-26.85,1637350066.078125
45767,-31.62,1637350066.09375
45768,-38.43,1637350066.109375
45769,-46.71,1637350066.125
45770,-54.9,1637350066.140625
45771,-60.46,1637350066.15625
45772,-60.49,1637350066.171875
45773,-52.73,1637350066.1875
45774,-36.63,1637350066.203125
45775,-13.86,1637350066.21875
45776,11.96,1637350066.234375
45777,36.38,1637350066.25
45778,55.64,1637350066.265625
45779,67.85,1637350066.28125
45780,73.19,1637350066.296875
45781,73.33,1637350066.3125
45782,70.39,1637350066.328125
45783,66.01,1637350066.34375
45784,60.98,1637350066.359375
45785,55.52,1637350066.375
45786,49.71,1637350066.390625
45787,43.9,1637350066.40625
45788,38.62,1637350066.421875
45789,34.41,1637350066.4375
45790,31.43,1637350066.453125
45791,29.44,1637350066.46875
45792,27.82,1637350066.484375
45793,25.99,1637350066.5
45794,23.56,1637350066.515625
45795,20.52,1637350066.53125
45796,17.16,1637350066.546875
45797,13.98,1637350066.5625
45798,11.39,1637350066.578125
45799,9.6,1637350066.59375
45800,8.48,1637350066.609375
45801,7.61,1637350066.625
45802,6.36,1637350066.640625
45803,4.15,1637350066.65625
45804,0.67,1637350066.671875
45805,-4.06,1637350066.6875
45806,-9.62,1637350066.703125
45807,-15.38,1637350066.71875
45808,-20.67,1637350066.734375
45809,-25.09,1637350066.75
45810,-28.61,1637350066.765625
45811,-31.58,1637350066.78125
45812,-34.5,1637350066.796875
45813,-37.95,1637350066.8125
45814,-42.4,1637350066.828125
45815,-48.11,1637350066.84375
45816,-55.02,1637350066.859375
45817,-62.53,1637350066.875
45818,-69.4,1637350066.890625
45819,-73.73,1637350066.90625
45820,-73.31,1637350066.921875
45821,-66.33,1637350066.9375
45822,-52.17,1637350066.953125
45823,-31.93,1637350066.96875
45824,-8.35,1637350066.984375
45825,14.95,1637350067.0
45826,34.59,1637350067.015625
45827,48.38,1637350067.03125
45828,55.84,1637350067.046875
45829,57.91,1637350067.0625
45830,56.3,1637350067.078125
45831,52.7,1637350067.09375
45832,48.28,1637350067.109375
45833,43.69,1637350067.125
45834,39.15,1637350067.140625
